generator,label,image,siglip_score,swin_score,npr_score,commfor_score,siglip_correct,swin_correct,npr_correct,commfor_correct
ADM,fake,893_adm_85.PNG,0.9997110962867737,0.008405995555222034,0.999994158744812,0.9254164695739746,True,False,True,True
ADM,fake,471_adm_91.PNG,4.857240492128767e-05,0.9350211024284363,1.0,0.9999492168426514,False,True,True,True
ADM,fake,876_adm_91.PNG,0.0009466971969231963,0.9979230761528015,1.0,0.9834274649620056,False,True,True,True
ADM,fake,257_adm_34.PNG,6.66341875330545e-05,0.005603087600320578,1.0,0.9992703795433044,False,False,True,True
ADM,fake,581_adm_91.PNG,0.00023726036306470633,1.1405857591739732e-08,0.01287039089947939,0.9996234178543091,False,False,False,True
ADM,fake,75_adm_153.PNG,0.00010550559818511829,0.15399417281150818,0.5821113586425781,0.9483680129051208,False,False,True,True
ADM,fake,843_adm_34.PNG,4.6999507503642235e-06,1.277076626138296e-05,0.2935161590576172,0.009231176227331161,False,False,False,False
ADM,fake,976_adm_85.PNG,8.966377208707854e-05,2.820662484737113e-05,1.0,0.975517988204956,False,False,True,True
ADM,fake,217_adm_34.PNG,1.3772709053228027e-06,0.00026172155048698187,0.536802351474762,0.00018136879953090101,False,False,True,False
ADM,fake,299_adm_34.PNG,0.00020742851484101266,0.995245635509491,1.0,0.9672737121582031,False,True,True,True
ADM,fake,945_adm_174.PNG,0.009190761484205723,0.016062958166003227,0.9999970197677612,0.7960391640663147,False,False,True,True
ADM,fake,771_adm_153.PNG,0.0023118839599192142,0.764785647392273,1.0,0.9999964237213135,False,True,True,True
ADM,fake,40_adm_7.PNG,0.0021300429943948984,0.991597592830658,1.0,0.9999849796295166,False,True,True,True
ADM,fake,900_adm_85.PNG,0.9964652061462402,0.41237673163414,1.0,0.9905573129653931,True,False,True,True
ADM,fake,134_adm_34.PNG,0.0008661601459607482,0.028558773919939995,0.9554318785667419,0.011430843733251095,False,False,True,False
ADM,fake,837_adm_91.PNG,0.0030171172693371773,3.387100377949537e-08,0.9999642372131348,0.9999920129776001,False,False,True,True
ADM,fake,852_adm_7.PNG,0.00013644112914334983,0.0009366379817947745,0.0031745382584631443,0.4308190941810608,False,False,False,False
ADM,fake,761_adm_85.PNG,0.0024409473408013582,0.8454071879386902,1.0,0.9986388087272644,False,True,True,True
ADM,fake,752_adm_34.PNG,2.4658945676492294e-06,0.9172716736793518,1.0,0.9902361035346985,False,True,True,True
ADM,fake,906_adm_91.PNG,0.25560906529426575,0.998611330986023,1.0,0.999476969242096,False,True,True,True
ADM,fake,791_adm_85.PNG,4.902028740616515e-05,1.6910757949517574e-06,0.9999877214431763,0.9995703101158142,False,False,True,True
ADM,fake,972_adm_34.PNG,0.00044716300908476114,0.0013090925058349967,1.0,0.9998325109481812,False,False,True,True
ADM,fake,755_adm_174.PNG,0.003981140907853842,0.16053372621536255,1.0,0.9742753505706787,False,False,True,True
ADM,fake,732_adm_34.PNG,0.0031384394969791174,0.9692749977111816,1.0,0.999996542930603,False,True,True,True
ADM,fake,336_adm_7.PNG,1.1606644875428174e-05,0.000273683835985139,0.8337422609329224,0.28885748982429504,False,False,True,False
ADM,fake,409_adm_91.PNG,0.999273955821991,0.004568422678858042,1.0,0.9999862909317017,True,False,True,True
ADM,fake,529_adm_174.PNG,3.748707604245283e-05,0.9704205989837646,1.0,0.9998296499252319,False,True,True,True
ADM,fake,404_adm_34.PNG,0.002735302783548832,0.9985711574554443,1.0,0.9999839067459106,False,True,True,True
ADM,fake,873_adm_34.PNG,0.005878554657101631,5.098537803860381e-05,1.0,0.9999920129776001,False,False,True,True
ADM,fake,841_adm_153.PNG,0.00011487507435958833,0.9939281940460205,1.0,0.9999871253967285,False,True,True,True
ADM,fake,141_adm_34.PNG,0.00013089316780678928,0.9962412118911743,0.9999805688858032,0.9989408850669861,False,True,True,True
ADM,fake,209_adm_174.PNG,0.0013763078022748232,0.9997870326042175,1.0,0.9988493919372559,False,True,True,True
ADM,fake,576_adm_174.PNG,0.0003910854575224221,0.9669356942176819,0.9998596906661987,0.7102121114730835,False,True,True,True
ADM,fake,919_adm_91.PNG,7.700425339862704e-05,4.05160307082042e-07,0.04616172984242439,0.030752060934901237,False,False,False,False
ADM,fake,815_adm_153.PNG,0.0009032845264300704,5.059187060396653e-06,0.9996569156646729,0.9442867040634155,False,False,True,True
ADM,fake,245_adm_34.PNG,3.4027812034764793e-07,6.160969405755168e-07,0.0159506406635046,0.8270518779754639,False,False,False,True
ADM,fake,930_adm_91.PNG,0.00012461308506317437,0.011406132020056248,0.9999573230743408,0.9993258714675903,False,False,True,True
ADM,fake,109_adm_34.PNG,0.00030439530382864177,0.02066248282790184,0.445599764585495,0.02428336814045906,False,False,False,False
ADM,fake,131_adm_174.PNG,0.00011436172644607723,8.726184751139954e-05,0.9369840025901794,0.8220527768135071,False,False,True,True
ADM,fake,92_adm_91.PNG,0.0005797733319923282,0.9893938899040222,1.0,0.9999992847442627,False,True,True,True
ADM,fake,846_adm_85.PNG,0.9998893737792969,0.9994101524353027,1.0,0.9999806880950928,True,True,True,True
ADM,fake,554_adm_174.PNG,0.00028628361178562045,6.577385647688061e-06,1.0,0.9999998807907104,False,False,True,True
ADM,fake,969_adm_7.PNG,0.001110645243898034,0.048985570669174194,1.0,0.9996335506439209,False,False,True,True
ADM,fake,462_adm_7.PNG,0.001086830860003829,0.9995805621147156,1.0,0.9999953508377075,False,True,True,True
ADM,fake,71_adm_174.PNG,0.0001979998778551817,0.009878923185169697,1.0,0.9998164772987366,False,False,True,True
ADM,fake,979_adm_85.PNG,0.0024292957969009876,0.00010129680595127866,1.0,0.9999557733535767,False,False,True,True
ADM,fake,911_adm_174.PNG,0.0006538136512972414,0.9964091181755066,0.9999961853027344,0.9757096171379089,False,True,True,True
ADM,fake,161_adm_174.PNG,3.533564722602023e-06,7.62002237024717e-05,1.0,0.9999939203262329,False,False,True,True
ADM,fake,751_adm_34.PNG,0.9997660517692566,0.9996191263198853,1.0,0.9999738931655884,True,True,True,True
ADM,fake,430_adm_91.PNG,0.0005639577284455299,3.4257243441970786e-06,1.0,0.9995800852775574,False,False,True,True
ADM,fake,393_adm_34.PNG,0.0012266592821106315,3.3513017115183175e-05,0.9999840259552002,0.8384169340133667,False,False,True,True
ADM,fake,705_adm_174.PNG,0.0003001890436280519,0.11835722625255585,1.0,0.9999396800994873,False,False,True,True
ADM,fake,579_adm_153.PNG,0.000925570959225297,0.00012295364285819232,0.6743035316467285,0.2609765827655792,False,False,True,False
ADM,fake,645_adm_85.PNG,0.00015560931933578104,3.574385573301697e-06,0.8546808362007141,0.9803661704063416,False,False,True,True
ADM,fake,836_adm_91.PNG,0.0010448104003444314,0.0005945040029473603,1.0,0.9919557571411133,False,False,True,True
ADM,fake,479_adm_7.PNG,0.0020336564630270004,5.185314876143821e-06,0.9999998807907104,0.8432586193084717,False,False,True,True
ADM,fake,978_adm_7.PNG,0.0005843359977006912,2.50146822509123e-05,1.0,0.999290943145752,False,False,True,True
ADM,fake,147_adm_91.PNG,0.0008271067636087537,1.096798541766475e-06,1.0,0.9997630715370178,False,False,True,True
ADM,fake,60_adm_7.PNG,9.525203495286405e-06,1.0471011592017021e-05,0.015270576812326908,0.02360067330300808,False,False,False,False
ADM,fake,88_adm_7.PNG,0.0030254609882831573,0.9998478889465332,1.0,0.9999833106994629,False,True,True,True
ADM,fake,481_adm_91.PNG,0.9989339709281921,0.001786875887773931,0.9999992847442627,0.76121586561203,True,False,True,True
ADM,fake,643_adm_174.PNG,9.503689216217026e-05,0.0014877545181661844,1.0,0.9993002414703369,False,False,True,True
ADM,fake,101_adm_34.PNG,2.1882998169076018e-07,0.14674979448318481,0.6160288453102112,0.2551027834415436,False,False,True,False
ADM,fake,324_adm_174.PNG,9.213075099978596e-05,0.5377551317214966,0.9999990463256836,0.8821067214012146,False,True,True,True
